model,decision,total,HIGH,HIGH_pct,MEDIUM,MEDIUM_pct,LOW,LOW_pct
Mistral 7B,INCLUDE,1242,1237,99.6,5,0.4,0,0.0
Mistral 7B,EXCLUDE,722,722,100.0,0,0.0,0,0.0
Mistral 7B,UNCERTAIN,72,0,0.0,14,19.4,58,80.6
LLaMA 3.1 8B,INCLUDE,1147,1138,99.2,9,0.8,0,0.0
LLaMA 3.1 8B,EXCLUDE,887,887,100.0,0,0.0,0,0.0
LLaMA 3.1 8B,UNCERTAIN,2,0,0.0,0,0.0,2,100.0
Qwen 2.5 7B,INCLUDE,697,476,68.3,221,31.7,0,0.0
Qwen 2.5 7B,EXCLUDE,1184,1109,93.7,75,6.3,0,0.0
Qwen 2.5 7B,UNCERTAIN,155,0,0.0,155,100.0,0,0.0
Qwen 2.5 7B (S1 FS),INCLUDE,949,518,54.6,431,45.4,0,0.0
Qwen 2.5 7B (S1 FS),EXCLUDE,1086,836,77.0,249,22.9,1,0.1
Qwen 2.5 7B (S1 FS),UNCERTAIN,1,0,0.0,1,100.0,0,0.0
